Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Loading files...	
Loading x_splits	
Loading y_splits	
Loading split_sizes	
Finished loading Torch objects from file	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.00 / 50, i = 1 / 67200, loss = 4.079245	
Epoch 1.00 / 50, i = 2 / 67200, loss = 3.590221	
Epoch 1.00 / 50, i = 3 / 67200, loss = 3.323260	
Epoch 1.00 / 50, i = 4 / 67200, loss = 3.281376	
Epoch 1.00 / 50, i = 5 / 67200, loss = 3.293972	
Epoch 1.00 / 50, i = 6 / 67200, loss = 3.272112	
Epoch 1.01 / 50, i = 7 / 67200, loss = 3.266466	
Epoch 1.01 / 50, i = 8 / 67200, loss = 3.246076	
Epoch 1.01 / 50, i = 9 / 67200, loss = 3.246698	
Epoch 1.01 / 50, i = 10 / 67200, loss = 3.251022	
Epoch 1.01 / 50, i = 11 / 67200, loss = 3.243286	
Epoch 1.01 / 50, i = 12 / 67200, loss = 3.223518	
Epoch 1.01 / 50, i = 13 / 67200, loss = 3.228463	
Epoch 1.01 / 50, i = 14 / 67200, loss = 3.228184	
Epoch 1.01 / 50, i = 15 / 67200, loss = 3.204321	
Epoch 1.01 / 50, i = 16 / 67200, loss = 3.237358	
Epoch 1.01 / 50, i = 17 / 67200, loss = 3.220625	
Epoch 1.01 / 50, i = 18 / 67200, loss = 3.209957	
Epoch 1.01 / 50, i = 19 / 67200, loss = 3.214809	
Epoch 1.01 / 50, i = 20 / 67200, loss = 3.200062	
Epoch 1.02 / 50, i = 21 / 67200, loss = 3.221780	
Epoch 1.02 / 50, i = 22 / 67200, loss = 3.228054	
Epoch 1.02 / 50, i = 23 / 67200, loss = 3.225942	
Epoch 1.02 / 50, i = 24 / 67200, loss = 3.211033	
Epoch 1.02 / 50, i = 25 / 67200, loss = 3.204532	
Epoch 1.02 / 50, i = 26 / 67200, loss = 3.226024	
Epoch 1.02 / 50, i = 27 / 67200, loss = 3.195358	
Epoch 1.02 / 50, i = 28 / 67200, loss = 3.208916	
Epoch 1.02 / 50, i = 29 / 67200, loss = 3.199735	
Epoch 1.02 / 50, i = 30 / 67200, loss = 3.207321	
Epoch 1.02 / 50, i = 31 / 67200, loss = 3.207938	
Epoch 1.02 / 50, i = 32 / 67200, loss = 3.209700	
Epoch 1.02 / 50, i = 33 / 67200, loss = 3.203902	
Epoch 1.03 / 50, i = 34 / 67200, loss = 3.208337	
Epoch 1.03 / 50, i = 35 / 67200, loss = 3.198797	
Epoch 1.03 / 50, i = 36 / 67200, loss = 3.214491	
Epoch 1.03 / 50, i = 37 / 67200, loss = 3.205774	
Epoch 1.03 / 50, i = 38 / 67200, loss = 3.187479	
Epoch 1.03 / 50, i = 39 / 67200, loss = 3.223849	
Epoch 1.03 / 50, i = 40 / 67200, loss = 3.206505	
Epoch 1.03 / 50, i = 41 / 67200, loss = 3.221197	
Epoch 1.03 / 50, i = 42 / 67200, loss = 3.190288	
Epoch 1.03 / 50, i = 43 / 67200, loss = 3.196799	
Epoch 1.03 / 50, i = 44 / 67200, loss = 3.190303	
Epoch 1.03 / 50, i = 45 / 67200, loss = 3.224925	
Epoch 1.03 / 50, i = 46 / 67200, loss = 3.194961	
Epoch 1.03 / 50, i = 47 / 67200, loss = 3.200105	
Epoch 1.04 / 50, i = 48 / 67200, loss = 3.193772	
Epoch 1.04 / 50, i = 49 / 67200, loss = 3.207847	
Epoch 1.04 / 50, i = 50 / 67200, loss = 3.195683	
Epoch 1.04 / 50, i = 51 / 67200, loss = 3.203044	
Epoch 1.04 / 50, i = 52 / 67200, loss = 3.200102	
Epoch 1.04 / 50, i = 53 / 67200, loss = 3.197577	
Epoch 1.04 / 50, i = 54 / 67200, loss = 3.201962	
Epoch 1.04 / 50, i = 55 / 67200, loss = 3.206749	
Epoch 1.04 / 50, i = 56 / 67200, loss = 3.220128	
Epoch 1.04 / 50, i = 57 / 67200, loss = 3.212198	
Epoch 1.04 / 50, i = 58 / 67200, loss = 3.207589	
