Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Reshaping data in split:	test	
Reshaping data in split:	train	
Reshaping data in split:	val	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.00 / 50, i = 1 / 67200, loss = 4.144549	
Epoch 1.00 / 50, i = 2 / 67200, loss = 3.657419	
Epoch 1.00 / 50, i = 3 / 67200, loss = 3.343869	
Epoch 1.00 / 50, i = 4 / 67200, loss = 3.313335	
Epoch 1.00 / 50, i = 5 / 67200, loss = 3.291976	
Epoch 1.00 / 50, i = 6 / 67200, loss = 3.259269	
Epoch 1.01 / 50, i = 7 / 67200, loss = 3.268628	
Epoch 1.01 / 50, i = 8 / 67200, loss = 3.240801	
Epoch 1.01 / 50, i = 9 / 67200, loss = 3.231129	
Epoch 1.01 / 50, i = 10 / 67200, loss = 3.235611	
Epoch 1.01 / 50, i = 11 / 67200, loss = 3.238034	
Epoch 1.01 / 50, i = 12 / 67200, loss = 3.218572	
Epoch 1.01 / 50, i = 13 / 67200, loss = 3.216899	
Epoch 1.01 / 50, i = 14 / 67200, loss = 3.211868	
Epoch 1.01 / 50, i = 15 / 67200, loss = 3.186205	
Epoch 1.01 / 50, i = 16 / 67200, loss = 3.217118	
Epoch 1.01 / 50, i = 17 / 67200, loss = 3.213357	
Epoch 1.01 / 50, i = 18 / 67200, loss = 3.202338	
Epoch 1.01 / 50, i = 19 / 67200, loss = 3.208673	
Epoch 1.01 / 50, i = 20 / 67200, loss = 3.184386	
Epoch 1.02 / 50, i = 21 / 67200, loss = 3.202041	
Epoch 1.02 / 50, i = 22 / 67200, loss = 3.211940	
Epoch 1.02 / 50, i = 23 / 67200, loss = 3.211649	
Epoch 1.02 / 50, i = 24 / 67200, loss = 3.187458	
Epoch 1.02 / 50, i = 25 / 67200, loss = 3.194474	
Epoch 1.02 / 50, i = 26 / 67200, loss = 3.205281	
Epoch 1.02 / 50, i = 27 / 67200, loss = 3.183401	
Epoch 1.02 / 50, i = 28 / 67200, loss = 3.192438	
Epoch 1.02 / 50, i = 29 / 67200, loss = 3.190515	
Epoch 1.02 / 50, i = 30 / 67200, loss = 3.191381	
Epoch 1.02 / 50, i = 31 / 67200, loss = 3.187512	
Epoch 1.02 / 50, i = 32 / 67200, loss = 3.192570	
Epoch 1.02 / 50, i = 33 / 67200, loss = 3.180929	
Epoch 1.03 / 50, i = 34 / 67200, loss = 3.192637	
Epoch 1.03 / 50, i = 35 / 67200, loss = 3.176612	
Epoch 1.03 / 50, i = 36 / 67200, loss = 3.197515	
Epoch 1.03 / 50, i = 37 / 67200, loss = 3.187713	
Epoch 1.03 / 50, i = 38 / 67200, loss = 3.163932	
Epoch 1.03 / 50, i = 39 / 67200, loss = 3.194579	
Epoch 1.03 / 50, i = 40 / 67200, loss = 3.194695	
Epoch 1.03 / 50, i = 41 / 67200, loss = 3.206436	
Epoch 1.03 / 50, i = 42 / 67200, loss = 3.173193	
Epoch 1.03 / 50, i = 43 / 67200, loss = 3.176174	
Epoch 1.03 / 50, i = 44 / 67200, loss = 3.156839	
Epoch 1.03 / 50, i = 45 / 67200, loss = 3.201577	
Epoch 1.03 / 50, i = 46 / 67200, loss = 3.181357	
Epoch 1.03 / 50, i = 47 / 67200, loss = 3.180046	
Epoch 1.04 / 50, i = 48 / 67200, loss = 3.172745	
Epoch 1.04 / 50, i = 49 / 67200, loss = 3.182447	
Epoch 1.04 / 50, i = 50 / 67200, loss = 3.178547	
Epoch 1.04 / 50, i = 51 / 67200, loss = 3.183213	
Epoch 1.04 / 50, i = 52 / 67200, loss = 3.187094	
Epoch 1.04 / 50, i = 53 / 67200, loss = 3.176430	
Epoch 1.04 / 50, i = 54 / 67200, loss = 3.186518	
